pi;x;y
p1;68;156
p2;106;445
p3;316;64
p4;242;151
p5;429;87
p6;271;390
p7;11;71
p8;437;316
p9;253;85
p10;356;3
p11;31;290
p12;202;361
p13;476;32
p14;192;113
p15;21;155
p16;178;407
p17;73;433
p18;230;433
p19;311;242
p20;399;68
p21;137;10
p22;325;286
p23;265;241
p24;303;71
p25;253;161
p26;209;361
p27;308;36
p28;95;26
p29;392;180
p30;289;100
p31;137;369
p32;2;310
p33;207;408
p34;51;385
p35;326;227
p36;238;386
p37;182;62
p38;18;331
p39;160;286
p40;498;317
p41;104;73
p42;424;359
p43;361;299
p44;284;243
p45;77;353
p46;65;74
p47;223;20
p48;422;422
p49;309;205
p50;128;432
p51;492;424
p52;230;366
p53;239;207
p54;295;372
p55;220;429
p56;116;470
p57;407;480
p58;247;436
p59;448;87
p60;337;31
p61;155;265
p62;60;386
p63;400;55
p64;308;277
p65;446;413
p66;284;461
p67;17;7
p68;264;308
p69;249;101
p70;324;191
p71;8;487
p72;408;405
p73;113;36
p74;40;311
p75;439;327
p76;9;339
p77;452;127
p78;149;203
p79;450;400
p80;351;112
p81;250;337
p82;223;339
p83;85;300
p84;282;493
p85;192;57
p86;139;362
p87;145;262
p88;103;165
p89;111;412
p90;409;135
p91;477;134
p92;227;350
p93;451;81
p94;262;394
p95;448;44
p96;58;117
p97;370;28
p98;328;262
p99;281;102
p100;351;344
p101;479;477
p102;408;188
p103;292;192
p104;462;292
p105;445;197
p106;382;34
p107;302;237
p108;12;252
p109;227;353
p110;345;449
p111;121;378
p112;305;204
p113;143;297
p114;151;112
p115;334;152
p116;192;119
p117;83;200
p118;94;494
p119;269;58
p120;83;45
p121;157;336
p122;435;74
p123;167;149
p124;326;76
p125;141;297
p126;123;55
p127;47;359
p128;331;319
p129;227;1
p130;190;31
p131;12;75
p132;249;476
p133;141;251
p134;129;446
p135;424;317
p136;129;300
p137;395;362
p138;17;366
p139;255;98
p140;230;345
p141;64;359
p142;287;440
p143;402;438
p144;6;113
p145;345;307
p146;445;263
p147;380;29
p148;295;40
p149;382;296
p150;207;213
p151;467;205
p152;7;96
p153;488;97
p154;178;290
p155;57;318
p156;14;258
p157;21;439
p158;459;408
p159;35;119
p160;495;79
p161;113;78
p162;340;254
p163;160;433
p164;59;323
p165;92;241
p166;316;64
p167;435;312
p168;16;57
p169;39;412
p170;369;483
p171;485;29
p172;433;302
p173;437;196
p174;459;262
p175;323;18
p176;242;457
p177;211;445
p178;143;84
p179;108;122
p180;211;160
p181;152;402
p182;37;334
p183;121;22
p184;316;314
p185;26;431
p186;475;393
p187;159;475
p188;280;128
p189;178;487
p190;200;226
p191;163;71
p192;434;367
p193;491;279
p194;425;59
p195;158;132
p196;449;135
p197;122;55
p198;306;373
p199;236;371
p200;485;440
p201;371;279
p202;273;375
p203;213;486
p204;192;224
p205;415;258
p206;90;264
p207;235;136
p208;69;182
p209;322;471
p210;54;231
p211;71;365
p212;319;379
p213;423;323
p214;78;278
p215;382;302
p216;53;301
p217;331;333
p218;499;302
p219;157;351
p220;19;420
p221;402;457
p222;22;194
p223;345;105
p224;149;298
p225;112;208
p226;241;318
p227;179;293
p228;225;236
p229;428;212
p230;7;77
p231;86;274
p232;129;268
p233;202;495
p234;79;428
p235;144;99
p236;108;98
p237;19;376
p238;101;125
p239;68;64
p240;13;323
p241;186;4
p242;4;159
p243;307;22
p244;55;355
p245;465;313
p246;237;202
p247;13;458
p248;247;289
p249;122;172
p250;442;407
p251;41;408
p252;399;56
p253;61;238
p254;152;483
p255;371;446
p256;381;479
p257;179;356
p258;310;9
p259;95;238
p260;392;256
p261;179;76
p262;374;219
p263;76;153
p264;28;4
p265;46;466
p266;480;39
p267;479;58
p268;411;440
p269;447;131
p270;316;295
p271;493;102
p272;51;474
p273;453;42
p274;492;254
p275;113;27
p276;203;319
p277;340;164
p278;171;29
p279;288;387
p280;155;25
p281;496;292
p282;191;267
p283;112;443
p284;342;396
p285;181;209
p286;266;338
p287;399;213
p288;3;384
p289;2;395
p290;292;344
p291;381;349
p292;468;86
p293;494;161
p294;470;120
p295;382;462
p296;72;485
p297;334;454
p298;426;143
p299;394;145
p300;406;99
p301;96;367
p302;71;22
p303;225;458
p304;18;144
p305;473;171
p306;37;381
p307;440;412
p308;95;351
p309;428;210
p310;352;478
p311;344;106
p312;478;447
p313;414;420
p314;396;393
p315;346;347
p316;426;267
p317;145;308
p318;392;5
p319;436;404
p320;13;485
p321;3;337
p322;217;385
p323;107;345
p324;483;293
p325;198;431
p326;466;36
p327;99;7
p328;212;65
p329;496;128
p330;487;445
p331;234;328
p332;13;431
p333;270;487
p334;108;406
p335;191;320
p336;429;160
p337;77;110
p338;337;312
p339;363;272
p340;439;111
p341;293;134
p342;302;224
p343;66;133
p344;283;270
p345;342;435
p346;472;96
p347;2;165
p348;426;223
p349;370;384
p350;37;44
p351;29;50
p352;439;1
p353;135;77
p354;358;252
p355;174;343
p356;295;98
p357;204;182
p358;155;427
p359;393;500
p360;100;253
p361;388;11
p362;272;124
p363;352;131
p364;110;262
p365;129;405
p366;285;299
p367;372;55
p368;244;357
p369;477;227
p370;236;332
p371;67;27
p372;196;485
p373;61;392
p374;129;188
p375;45;463
p376;447;95
p377;155;49
p378;190;117
p379;446;377
p380;387;168
p381;180;294
p382;100;200
p383;467;137
p384;432;395
p385;459;319
p386;401;449
p387;162;318
p388;456;326
p389;196;411
p390;16;180
p391;214;172
p392;171;45
p393;80;154
p394;337;397
p395;372;66
p396;21;31
p397;90;434
p398;326;276
p399;206;254
p400;118;220
p401;326;447
p402;67;312
p403;49;44
p404;122;202
p405;259;452
p406;210;89
p407;175;391
p408;500;183
p409;153;319
p410;287;88
p411;281;352
p412;186;65
p413;274;390
p414;317;47
p415;37;413
p416;395;56
p417;387;391
p418;43;98
p419;420;252
p420;396;167
p421;335;124
p422;277;413
p423;239;453
p424;426;352
p425;74;323
p426;440;25
p427;119;184
p428;302;329
p429;312;325
p430;10;260
p431;421;285
p432;64;283
p433;385;22
p434;0;151
p435;200;387
p436;354;16
p437;146;278
p438;9;332
p439;424;94
p440;125;239
p441;80;500
p442;189;402
p443;185;245
p444;18;254
p445;247;157
p446;214;38
p447;390;141
p448;288;360
p449;117;332
p450;177;328
p451;361;468
p452;447;262
p453;463;234
p454;321;295
p455;272;13
p456;478;209
p457;376;164
p458;254;341
p459;185;44
p460;128;64
p461;418;199
p462;409;335
p463;408;121
p464;323;9
p465;14;235
p466;241;171
p467;136;477
p468;338;211
p469;369;478
p470;226;275
p471;237;349
p472;448;320
p473;371;464
p474;286;309
p475;287;26
p476;157;420
p477;64;435
p478;344;123
p479;166;20
p480;416;9
p481;482;136
p482;51;450
p483;198;120
p484;278;106
p485;81;49
p486;174;481
p487;84;228
p488;477;367
p489;197;156
p490;34;49
p491;402;379
p492;346;419
p493;235;134
p494;472;80
p495;53;16
p496;20;232
p497;58;471
p498;275;239
p499;348;19
p500;333;383
